Time of the day,Number of hosts up
2020-02-04 00:00:00,52
2020-02-04 00:10:00,52
2020-02-04 00:20:00,49
2020-02-04 00:30:00,43
2020-02-04 00:40:00,43
2020-02-04 00:50:00,45
2020-02-04 01:00:00,44
2020-02-04 01:10:00,42
2020-02-04 01:20:00,38
2020-02-04 01:30:00,40
2020-02-04 01:40:00,35
2020-02-04 01:50:00,37
2020-02-04 02:00:00,36
2020-02-04 02:10:00,34
2020-02-04 02:20:00,32
2020-02-04 02:30:00,30
2020-02-04 02:40:00,28
2020-02-04 02:50:00,26
2020-02-04 03:00:00,25
2020-02-04 03:10:00,23
2020-02-04 03:20:00,22
2020-02-04 03:30:00,21
2020-02-04 03:40:00,21
2020-02-04 03:50:00,19
2020-02-04 04:00:00,18
2020-02-04 04:10:00,17
2020-02-04 04:20:00,18
2020-02-04 04:30:00,17
2020-02-04 04:40:00,17
2020-02-04 04:50:00,18
2020-02-04 05:00:00,18
2020-02-04 05:10:00,19
2020-02-04 05:20:00,21
2020-02-04 05:30:00,22
2020-02-04 05:40:00,23
2020-02-04 05:50:00,23
2020-02-04 06:00:00,22
2020-02-04 06:10:00,22
2020-02-04 06:20:00,22
2020-02-04 06:30:00,22
2020-02-04 06:40:00,22
2020-02-04 06:50:00,22
2020-02-04 07:00:00,23
2020-02-04 07:10:00,26
2020-02-04 07:20:00,26
2020-02-04 07:30:00,28
2020-02-04 07:40:00,26
2020-02-04 07:50:00,27
2020-02-04 08:00:00,27
2020-02-04 08:10:00,26
2020-02-04 08:20:00,29
2020-02-04 08:30:00,27
2020-02-04 08:40:00,25
2020-02-04 08:50:00,29
2020-02-04 09:00:00,26
2020-02-04 09:10:00,21
2020-02-04 09:20:00,20
2020-02-04 09:30:00,23
2020-02-04 09:40:00,23
2020-02-04 09:50:00,21
2020-02-04 10:00:00,20
2020-02-04 10:10:00,18
2020-02-04 10:20:00,21
2020-02-04 10:30:00,20
2020-02-04 10:40:00,22
2020-02-04 10:50:00,21
2020-02-04 11:00:00,22
2020-02-04 11:10:00,25
2020-02-04 11:20:00,29
2020-02-04 11:30:00,30
2020-02-04 11:40:00,28
2020-02-04 11:50:00,29
2020-02-04 12:00:00,29
2020-02-04 12:10:00,32
2020-02-04 12:20:00,32
2020-02-04 12:30:00,34
2020-02-04 12:40:00,36
2020-02-04 12:50:00,34
2020-02-04 13:00:00,34
2020-02-04 13:10:00,33
2020-02-04 13:20:00,33
2020-02-04 13:30:00,30
2020-02-04 13:40:00,32
2020-02-04 13:50:00,34
2020-02-04 14:00:00,37
2020-02-04 14:10:00,34
2020-02-04 14:20:00,33
2020-02-04 14:30:00,34
2020-02-04 14:40:00,35
2020-02-04 14:50:00,33
2020-02-04 15:00:00,32
2020-02-04 15:10:00,33
2020-02-04 15:20:00,32
2020-02-04 15:30:00,33
2020-02-04 15:40:00,30
2020-02-04 15:50:00,28
2020-02-04 16:00:00,30
2020-02-04 16:10:00,31
2020-02-04 16:20:00,33
2020-02-04 16:30:00,32
2020-02-04 16:40:00,31
2020-02-04 16:50:00,28
2020-02-04 17:00:00,30
2020-02-04 17:10:00,34
2020-02-04 17:20:00,37
2020-02-04 17:30:00,37
2020-02-04 17:40:00,38
2020-02-04 17:50:00,36
2020-02-04 18:00:00,40
2020-02-04 18:10:00,43
2020-02-04 18:20:00,45
2020-02-04 18:30:00,48
2020-02-04 18:40:00,50
2020-02-04 18:50:00,51
2020-02-04 19:00:00,50
2020-02-04 19:10:00,57
2020-02-04 19:20:00,54
2020-02-04 19:30:00,48
2020-02-04 19:40:00,47
2020-02-04 19:50:00,50
2020-02-04 20:00:00,48
2020-02-04 20:10:00,50
2020-02-04 20:20:00,53
2020-02-04 20:30:00,58
2020-02-04 20:40:00,50
2020-02-04 20:50:00,53
2020-02-04 21:00:00,46
2020-02-04 21:10:00,47
2020-02-04 21:20:00,49
2020-02-04 21:30:00,50
2020-02-04 21:40:00,55
2020-02-04 21:50:00,57
2020-02-04 22:00:00,51
2020-02-04 22:10:00,53
2020-02-04 22:20:00,54
2020-02-04 22:30:00,57
2020-02-04 22:40:00,55
2020-02-04 22:50:00,58
2020-02-04 23:00:00,56
2020-02-04 23:10:00,57
2020-02-04 23:20:00,54
2020-02-04 23:30:00,61
2020-02-04 23:40:00,60
2020-02-04 23:50:00,58
