Time of the day,Number of hosts up
2020-02-02 00:00:00,71
2020-02-02 00:10:00,69
2020-02-02 00:20:00,65
2020-02-02 00:30:00,67
2020-02-02 00:40:00,66
2020-02-02 00:50:00,62
2020-02-02 01:00:00,60
2020-02-02 01:10:00,57
2020-02-02 01:20:00,57
2020-02-02 01:30:00,55
2020-02-02 01:40:00,49
2020-02-02 01:50:00,52
2020-02-02 02:00:00,53
2020-02-02 02:10:00,55
2020-02-02 02:20:00,54
2020-02-02 02:30:00,54
2020-02-02 02:40:00,50
2020-02-02 02:50:00,49
2020-02-02 03:00:00,47
2020-02-02 03:10:00,47
2020-02-02 03:20:00,49
2020-02-02 03:30:00,45
2020-02-02 03:40:00,43
2020-02-02 03:50:00,42
2020-02-02 04:00:00,40
2020-02-02 04:10:00,35
2020-02-02 04:20:00,36
2020-02-02 04:30:00,34
2020-02-02 04:40:00,33
2020-02-02 04:50:00,35
2020-02-02 05:00:00,36
2020-02-02 05:10:00,35
2020-02-02 05:20:00,34
2020-02-02 05:30:00,34
2020-02-02 05:40:00,36
2020-02-02 05:50:00,36
2020-02-02 06:00:00,35
2020-02-02 06:10:00,32
2020-02-02 06:20:00,32
2020-02-02 06:30:00,32
2020-02-02 06:40:00,32
2020-02-02 06:50:00,32
2020-02-02 07:00:00,32
2020-02-02 07:10:00,30
2020-02-02 07:20:00,32
2020-02-02 07:30:00,32
2020-02-02 07:40:00,32
2020-02-02 07:50:00,32
2020-02-02 08:00:00,32
2020-02-02 08:10:00,31
2020-02-02 08:20:00,31
2020-02-02 08:30:00,32
2020-02-02 08:40:00,33
2020-02-02 08:50:00,34
2020-02-02 09:00:00,35
2020-02-02 09:10:00,35
2020-02-02 09:20:00,36
2020-02-02 09:30:00,37
2020-02-02 09:40:00,34
2020-02-02 09:50:00,36
2020-02-02 10:00:00,36
2020-02-02 10:10:00,38
2020-02-02 10:20:00,45
2020-02-02 10:30:00,51
2020-02-02 10:40:00,54
2020-02-02 10:50:00,58
2020-02-02 11:00:00,55
2020-02-02 11:10:00,57
2020-02-02 11:20:00,60
2020-02-02 11:30:00,60
2020-02-02 11:40:00,62
2020-02-02 11:50:00,65
2020-02-02 12:00:00,67
2020-02-02 12:10:00,63
2020-02-02 12:20:00,65
2020-02-02 12:30:00,63
2020-02-02 12:40:00,62
2020-02-02 12:50:00,60
2020-02-02 13:00:00,61
2020-02-02 13:10:00,59
2020-02-02 13:20:00,61
2020-02-02 13:30:00,62
2020-02-02 13:40:00,62
2020-02-02 13:50:00,62
2020-02-02 14:00:00,63
2020-02-02 14:10:00,63
2020-02-02 14:20:00,67
2020-02-02 14:30:00,72
2020-02-02 14:40:00,73
2020-02-02 14:50:00,70
2020-02-02 15:00:00,75
2020-02-02 15:10:00,77
2020-02-02 15:20:00,77
2020-02-02 15:30:00,82
2020-02-02 15:40:00,79
2020-02-02 15:50:00,79
2020-02-02 16:00:00,84
2020-02-02 16:10:00,81
2020-02-02 16:20:00,81
2020-02-02 16:30:00,81
2020-02-02 16:40:00,79
2020-02-02 16:50:00,74
2020-02-02 17:00:00,69
2020-02-02 17:10:00,67
2020-02-02 17:20:00,68
2020-02-02 17:30:00,68
2020-02-02 17:40:00,69
2020-02-02 17:50:00,72
2020-02-02 18:00:00,73
2020-02-02 18:10:00,75
2020-02-02 18:20:00,75
2020-02-02 18:30:00,77
2020-02-02 18:40:00,79
2020-02-02 18:50:00,81
2020-02-02 19:00:00,83
2020-02-02 19:10:00,83
2020-02-02 19:20:00,86
2020-02-02 19:30:00,86
2020-02-02 19:40:00,83
2020-02-02 19:50:00,81
2020-02-02 20:00:00,77
2020-02-02 20:10:00,78
2020-02-02 20:20:00,79
2020-02-02 20:30:00,81
2020-02-02 20:40:00,77
2020-02-02 20:50:00,76
2020-02-02 21:00:00,75
2020-02-02 21:10:00,74
2020-02-02 21:20:00,68
2020-02-02 21:30:00,72
2020-02-02 21:40:00,77
2020-02-02 21:50:00,77
2020-02-02 22:00:00,81
2020-02-02 22:10:00,82
2020-02-02 22:20:00,84
2020-02-02 22:30:00,88
2020-02-02 22:40:00,86
2020-02-02 22:50:00,86
2020-02-02 23:00:00,87
2020-02-02 23:10:00,86
2020-02-02 23:20:00,86
2020-02-02 23:30:00,84
2020-02-02 23:40:00,85
2020-02-02 23:50:00,83
2020-02-03 00:00:00,80
2020-02-03 00:10:00,79
2020-02-03 00:20:00,78
2020-02-03 00:30:00,78
2020-02-03 00:40:00,79
2020-02-03 00:50:00,76
2020-02-03 01:00:00,73
2020-02-03 01:10:00,67
